RingID,TreeID,FileName,Year,RingWidth,DateCreated
1,318,130228A,1963,0.072,25-Feb-03
2,318,130228A,1964,0.364,25-Feb-03
3,318,130228A,1965,0.45,25-Feb-03
4,318,130228A,1966,0.492,25-Feb-03
5,318,130228A,1967,0.31,25-Feb-03
6,318,130228A,1968,0.376,25-Feb-03
7,318,130228A,1969,0.342,25-Feb-03
8,318,130228A,1970,0.318,25-Feb-03
9,318,130228A,1971,0.206,25-Feb-03
10,318,130228A,1972,0.102,25-Feb-03
11,318,130228A,1973,0.174,25-Feb-03
12,318,130228A,1974,0.216,25-Feb-03
13,318,130228A,1975,0.234,25-Feb-03
14,318,130228A,1976,0.14,25-Feb-03
15,318,130228A,1977,0.146,25-Feb-03
16,318,130228A,1978,0.088,25-Feb-03
17,318,130228A,1979,0.062,25-Feb-03
18,318,130228A,1980,0.096,25-Feb-03
19,318,130228A,1981,0.108,25-Feb-03
20,318,130228A,1982,0.1,25-Feb-03
21,318,130228A,1983,0.07,25-Feb-03
22,318,130228A,1984,0.044,25-Feb-03
23,318,130228A,1985,0.044,25-Feb-03
24,318,130228A,1986,0.038,25-Feb-03
25,318,130228A,1987,0.072,25-Feb-03
26,318,130228A,1988,0.032,25-Feb-03
27,318,130228A,1989,0.058,25-Feb-03
28,318,130228A,1990,0.068,25-Feb-03
29,318,130228A,1991,0.072,25-Feb-03
30,318,130228A,1992,0.088,25-Feb-03
31,318,130228A,1993,0.046,25-Feb-03
32,318,130228A,1994,0.062,25-Feb-03
33,318,130228A,1995,0.07,25-Feb-03
34,318,130228A,1996,0.03,25-Feb-03
35,318,130228A,1997,0.024,25-Feb-03
36,318,130228A,1998,0.028,25-Feb-03
37,318,130228A,1999,0.018,25-Feb-03
38,318,130228A,2000,0.038,25-Feb-03
39,318,130228A,2001,0.022,25-Feb-03
40,318,130228A,2002,0.046,25-Feb-03
64,145,070434B,1979,0.062,27-Feb-03
65,145,070434B,1980,0.244,27-Feb-03
66,145,070434B,1981,0.348,27-Feb-03
67,145,070434B,1982,0.35,27-Feb-03
68,145,070434B,1983,0.284,27-Feb-03
69,145,070434B,1984,0.208,27-Feb-03
70,145,070434B,1985,0.368,27-Feb-03
71,145,070434B,1986,0.45,27-Feb-03
72,145,070434B,1987,0.546,27-Feb-03
73,145,070434B,1988,0.374,27-Feb-03
74,145,070434B,1989,0.32,27-Feb-03
75,145,070434B,1990,0.334,27-Feb-03
76,145,070434B,1991,0.334,27-Feb-03
77,145,070434B,1992,0.372,27-Feb-03
78,145,070434B,1993,0.322,27-Feb-03
79,145,070434B,1994,0.332,27-Feb-03
80,145,070434B,1995,0.082,27-Feb-03
81,145,070434B,1996,0.07,27-Feb-03
82,145,070434B,1997,0.058,27-Feb-03
83,145,070434B,1998,0.028,27-Feb-03
84,145,070434B,1999,0.028,27-Feb-03
85,145,070434B,2000,0.028,27-Feb-03
86,145,070434B,2001,0.03,27-Feb-03
87,145,070434B,2002,0.03,27-Feb-03
88,356,130415A,1939,0.316,27-Feb-03
89,356,130415A,1940,0.278,27-Feb-03
90,356,130415A,1941,0.334,27-Feb-03
91,356,130415A,1942,0.414,27-Feb-03
92,356,130415A,1943,0.372,27-Feb-03
93,356,130415A,1944,0.27,27-Feb-03
94,356,130415A,1945,0.334,27-Feb-03
95,356,130415A,1946,0.314,27-Feb-03
96,356,130415A,1947,0.316,27-Feb-03
97,356,130415A,1948,0.294,27-Feb-03
98,356,130415A,1949,0.384,27-Feb-03
99,356,130415A,1950,0.294,27-Feb-03
100,356,130415A,1951,0.258,27-Feb-03
101,356,130415A,1952,0.256,27-Feb-03
102,356,130415A,1953,0.264,27-Feb-03
103,356,130415A,1954,0.236,27-Feb-03
104,356,130415A,1955,0.278,27-Feb-03
105,356,130415A,1956,0.328,27-Feb-03
106,356,130415A,1957,0.374,27-Feb-03
107,356,130415A,1958,0.312,27-Feb-03
108,356,130415A,1959,0.252,27-Feb-03
109,356,130415A,1960,0.228,27-Feb-03
110,356,130415A,1961,0.314,27-Feb-03
111,356,130415A,1962,0.23,27-Feb-03
112,356,130415A,1963,0.258,27-Feb-03
113,356,130415A,1964,0.236,27-Feb-03
114,356,130415A,1965,0.208,27-Feb-03
115,356,130415A,1966,0.186,27-Feb-03
116,356,130415A,1967,0.318,27-Feb-03
117,356,130415A,1968,0.298,27-Feb-03
118,356,130415A,1969,0.28,27-Feb-03
119,356,130415A,1970,0.276,27-Feb-03
120,356,130415A,1971,0.29,27-Feb-03
121,356,130415A,1972,0.262,27-Feb-03
122,356,130415A,1973,0.278,27-Feb-03
123,356,130415A,1974,0.328,27-Feb-03
124,356,130415A,1975,0.35,27-Feb-03
125,356,130415A,1976,0.26,27-Feb-03
126,356,130415A,1977,0.266,27-Feb-03
127,356,130415A,1978,0.446,27-Feb-03
128,356,130415A,1979,0.268,27-Feb-03
129,356,130415A,1980,0.256,27-Feb-03
130,356,130415A,1981,0.212,27-Feb-03
131,356,130415A,1982,0.28,27-Feb-03
132,356,130415A,1983,0.208,27-Feb-03
133,356,130415A,1984,0.214,27-Feb-03
134,356,130415A,1985,0.222,27-Feb-03
135,356,130415A,1986,0.28,27-Feb-03
136,356,130415A,1987,0.208,27-Feb-03
137,356,130415A,1988,0.16,27-Feb-03
138,356,130415A,1989,0.182,27-Feb-03
139,356,130415A,1990,0.184,27-Feb-03
140,356,130415A,1991,0.14,27-Feb-03
141,356,130415A,1992,0.192,27-Feb-03
142,356,130415A,1993,0.166,27-Feb-03
143,356,130415A,1994,0.138,27-Feb-03
144,356,130415A,1995,0.152,27-Feb-03
145,356,130415A,1996,0.116,27-Feb-03
146,356,130415A,1997,0.16,27-Feb-03
147,356,130415A,1998,0.152,27-Feb-03
148,356,130415A,1999,0.106,27-Feb-03
149,356,130415A,2000,0.194,27-Feb-03
150,356,130415A,2001,0.148,27-Feb-03
151,356,130415A,2002,0.136,27-Feb-03
152,99,070330A,1980,0.354,26-Mar-03
153,99,070330A,1981,0.434,26-Mar-03
154,99,070330A,1982,0.39,26-Mar-03
155,99,070330A,1983,0.436,26-Mar-03
156,99,070330A,1984,0.368,26-Mar-03
157,99,070330A,1985,0.208,26-Mar-03
158,99,070330A,1986,0.288,26-Mar-03
159,99,070330A,1987,0.456,26-Mar-03
160,99,070330A,1988,0.258,26-Mar-03
161,99,070330A,1989,0.276,26-Mar-03
162,99,070330A,1990,0.276,26-Mar-03
163,99,070330A,1991,0.13,26-Mar-03
164,99,070330A,1992,0.148,26-Mar-03
165,99,070330A,1993,0.066,26-Mar-03
166,99,070330A,1994,0.052,26-Mar-03
167,99,070330A,1995,0.066,26-Mar-03
168,99,070330A,1996,0.038,26-Mar-03
169,99,070330A,1997,0.032,26-Mar-03
170,99,070330A,1998,0.036,26-Mar-03
171,99,070330A,1999,0.044,26-Mar-03
172,99,070330A,2000,0.046,26-Mar-03
173,99,070330A,2001,0.046,26-Mar-03
174,99,070330A,2002,0.05,26-Mar-03
175,277,130101A,1954,0.054,31-Mar-03
176,277,130101A,1955,0.056,31-Mar-03
177,277,130101A,1956,0.084,31-Mar-03
178,277,130101A,1957,0.08,31-Mar-03
179,277,130101A,1958,0.024,31-Mar-03
180,277,130101A,1959,0.032,31-Mar-03
181,277,130101A,1960,0.03,31-Mar-03
182,277,130101A,1961,0.044,31-Mar-03
183,277,130101A,1962,0.13,31-Mar-03
