TreeID,PlotID,CoreNo,SpeciesAcronym,Status,DBH,TreeHt,DateCreated
1,701,1,LITU,L,26,18.72,25-Feb-03
2,701,2,ROPS,L,22.8,20.16,25-Feb-03
3,701,3,LITU,L,29,22.1,25-Feb-03
4,701,4,LITU,L,21.4,20.32,25-Feb-03
5,701,5,BELE,L,8.3,10,25-Feb-03
6,701,6,PRSE,L,31.3,24,25-Feb-03
7,701,7,BELE,L,9.4,10,25-Feb-03
8,701,8,BELE,L,10.8,13.44,25-Feb-03
9,701,9,BELE,L,9.5,13.44,25-Feb-03
10,701,10,BELE,L,18,19.84,25-Feb-03
11,701,11,PRSE,L,38.4,22.5,25-Feb-03
12,701,12,BELE,L,7.6,13.65,25-Feb-03
13,701,13,ROPS,L,21.4,16.8,25-Feb-03
14,701,14,ROPS,D,8.5,8,25-Feb-03
15,701,15,BELE,L,10.1,14.1,25-Feb-03
16,701,16,ROPS,L,26,23,25-Feb-03
17,701,17,ROPS,D,12.1,10,25-Feb-03
18,701,18,PRSE,L,15.1,16.05,25-Feb-03
19,701,19,BELE,L,8.2,11.88,25-Feb-03
20,701,20,BELE,L,9.5,12.6,25-Feb-03
21,701,21,ROPS,L,21.9,18.7,25-Feb-03
22,701,22,BELE,L,12.8,14,25-Feb-03
23,701,23,BELE,L,13.3,16.28,25-Feb-03
24,701,24,LITU,L,18.8,17.67,25-Feb-03
25,701,25,ROPS,L,17.9,23.095,25-Feb-03
26,701,26,BELE,D,11.5,2.5,25-Feb-03
27,701,27,BELE,L,11,13.125,25-Feb-03
28,701,28,BELE,L,12.4,12.6,25-Feb-03
29,701,29,ROPS,L,21.1,23.37,25-Feb-03
30,701,30,BELE,L,7.2,11.04,25-Feb-03
31,701,31,BELE,L,11.7,13.5,25-Feb-03
32,701,32,ROPS,L,21.2,20.3,25-Feb-03
33,701,33,BELE,D,5.6,1.5,25-Feb-03
34,701,34,BELE,L,8.9,10.73,25-Feb-03
35,701,35,LITU,L,26.6,16.75,25-Feb-03
36,701,36,ROPS,L,22.7,21.125,25-Feb-03
37,701,37,BELE,D,31,5.5,25-Feb-03
38,701,38,ROPS,L,16.7,15.08,25-Feb-03
